codigo;nome
13009001;FIOCRUZ ( CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE ) (FIOCRUZ-CPqLMD)
32067011;FIOCRUZ ( CENTRO DE PESQUISAS RENÉ RACHOU ) (FIOCRUZ-CPqRR)
53044002;FIOCRUZ ( ESCOLA DE GOVERNO EM SAÚDE DIRETORIA REGIONAL DE BRASÍLIA ) (FIOCRUZ-EGS Brasília)
11008008;FIOCRUZ ( RONDÔNIA ) (FIOCRUZ-RO)
30007011;FUCAPE FUNDACAO DE PESQUISA E ENSINO (FUCAPE)
21016003;FUCAPE PESQUISA E ENSINO LIMITADA (MA) (FUCAPE-MA)
33302006;FUCAPE PESQUISA E ENSINO LIMITADA (RJ) (FUCAPE-RJ)
33157014;FUND JORGE DUPRAT FIGUEIREDO DE SEGURANÇA E MED DO TRABALHO (FUNDACENTR)
33073015;FUNDAÇÃO ANTONIO PRUDENTE - HOSPITAL A.C.CAMARGO (FAP)
32024010;FUNDAÇÃO CARDIOVASCULAR SÃO FRANCISCO DE ASSIS (FCSFA)
33301000;FUNDACAO CASA DE RUI BARBOSA (FCRB)
31066011;FUNDAÇÃO CESGRANRIO (CESGRANRIO)
13016008;Fundação de Dermatologia Tropical e Venereologia “Alfredo da Matta” (FUAM)
53022017;FUNDAÇÃO DE ENSINO E PESQUISA EM CIÊNCIAS DA SAÚDE (FEPECS)
31105009;FUNDAÇÃO DOM CABRAL (FDC)
33035016;FUNDAÇÃO EDUCACIONAL DE BARRETOS (FEB)
32145012;FUNDACAO EDUCACIONAL MONSENHOR MESSIAS (UNIFEMM)
53013018;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA (ENAP)
32148011;Fundação Ezequiel Dias (FUNED)
53062000;FUNDACAO GETULIO VARGAS ( BRASÍLIA ) (FGV/BSB)
31011012;FUNDAÇÃO GETÚLIO VARGAS ( RJ ) (FGV/RJ)
33014019;FUNDAÇÃO GETÚLIO VARGAS (SP) (FGV/SP)
33088012;FUNDAÇÃO INSTITUTO DE PESQUISAS ECONÔMICAS (FIPE)
32049013;FUNDAÇÃO JOÃO PINHEIRO (ESCOLA DE GOVERNO) (FJP)
25016016;FUNDACAO JOAQUIM NABUCO (FJN)
31010016;FUNDACAO OSWALDO CRUZ (FIOCRUZ) (FIOCRUZ)
31010024;FUNDAÇÃO OSWALDO CRUZ (FIOCRUZ CEARÁ) (FIOCRUZ-CE)
31010032;FUNDACAO OSWALDO CRUZ (FIOCRUZ MATO GROSSO DO SUL) (FIOCRUZ-MS)
33158010;FUNDAÇÃO PIO XII - HOSPITAL DE CÂNCER DE BARRETOS (HCB)
32058012;FUNDAÇÃO SANTA CASA DE MISERICÓRDIA DE BELO HORIZONTE (SCMBH)
15021017;FUNDAÇAO SANTA CASA DE MISERICÓRDIA DO PARÁ (FSCMPA)
42015014;FUNDAÇÃO UNIV. FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE (UFCSPA)
42009014;Fundação Universidade de Passo Fundo (FUPF)
21002010;FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI (UESPI)
51001012;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL (UFMS)
13001019;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA (UFRR)
27001016;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE (FUFSE)
42046017;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA (UNIPAMPA)
42046025;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - CAÇAPAVA DO SUL (UNIPAMPA - CA SUL)
21001014;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ (FUFPI)
16003039;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS (UFT-ARAGUAÍNA)
42018013;FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA (FUC)
42014018;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESENVOLVIMENTO SOCIAL - FUVATES (UNIVATES)
28011015;FUNDACAO VISCONDE DE CAIRU (FVC)
33150010;FUNDO DE DEFESA DA CITRICULTURA (FUNDECITRUS) (FUNDECITRU)
42023017;HOSPITAL DE CLÍNICAS DE PORTO ALEGRE (HCPA)
33039011;HOSPITAL HELIÓPOLIS (HOSPHEL)
43001009;Hospital Nossa Senhora Conceição (GHC)
51020009;HOSPITAL UNIVERSITÁRIO JÚLIO MÜLLER/EBSERH (HUJM)
33016011;IGESP SAUDE S/C LTDA (IBEPEGE)
33129010;INSPER INSTITUTO DE ENSINO E PESQUISA (INSPER)
32075014;INST. DE PREV. DOS SERVIDORES DO ESTADO DE MINAS GERAIS (IPSEMG)
32043015;INST. FED. EDUC. CIÊNC. E TECNOL. DO NORTE DE MINAS GERAIS (IFNMG)
52005011;INSTIT FEDERAL DE EDUCACÃO CIÊNCIA E TECNOLOGIA DE GOIÁS (IFG)
33081018;INSTITUTO AGRONÔMICO (IAC)
40075010;INSTITUTO AGRONÔMICO DO PARANÁ (IAPAR)
35016000;Instituto Brasileiro de Direito Tributário (IBDT)
35019000;Instituto Brasileiro de Estudos Tributários (IBET)
53019016;INSTITUTO BRASILIENSE DE DIREITO PÚBLICO (IDP)
33045011;INSTITUTO BUTANTAN (IBU)
35161000;Instituto de Aeronáutica e Espaço (IAE)
33038015;INSTITUTO DE ASSIST. MÉDICA AO SERVIDOR PÚBLICO ESTADUAL (IAMSPE)
33339007;Instituto de Biologia do Exército (IBEx)
33120013;INSTITUTO DE BOTANICA (IBT)
31115004;Instituto de Educação Tecnológica (IETEC)
31058019;INSTITUTO DE ENGENHARIA NUCLEAR (IEN)
33280010;INSTITUTO DE ENSINO E PESQUISA ALBERTO SANTOS DUMONT (IEPASD)
32058020;INSTITUTO DE ENSINO E PESQUISA DA SANTA CASA DE BELO HORIZONTE (IEPSC)
21005010;INSTITUTO DE ENSINO SUPERIOR DO PIAUI LTDA (UNINOVAFAPI)
32081014;INSTITUTO DE ENSINO SUPERIOR E PESQUISA (INESP)
33151016;INSTITUTO DE ESTUDOS AVANÇADOS (IEAv)
33305005;Instituto de Estudos do Mar Almirante Paulo Moreira (IEAPM)
25005014;INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA (IMIP)
33132011;INSTITUTO DE PESCA - APTA - SEC. DE AGR. E ABAST. - SP (IP)
33083010;INSTITUTO DE PESQ.TECNOLÓGICAS DO ESTADO DE SÃO PAULO (IPT)
53012011;INSTITUTO DE PESQUISA ECONÔMICA APLICADA (IPEA)
31057012;INSTITUTO DE PESQUISA JARDIM BOTANICO DO RIO DE JANEIRO (JBRJ)
16014006;Instituto de Pesquisas Científicas e Tecnológicas do Estado do Amapá (IEPA)
33140014;INSTITUTO DE PESQUISAS ECOLÓGICAS (IPÊ)
33104018;INSTITUTO DE PESQUISAS ENERGÉTICAS E NUCLEARES (IPEN)
31056016;INSTITUTO DE RADIOPROTEÇÃO E DOSIMETRIA (IRD)
33299013;INSTITUTO DE TECNOLOGIA DE ALIMENTOS (ITAL)
40033015;INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (LACTEC)
33148015;INSTITUTO DE ZOOTECNIA IZ/APTA-SAA/SP (IZ/APTA)
31076017;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL (IPHAN)
33335001;INSTITUTO D´OR DE PESQUISA E ENSINO (IDOR)
33281017;INSTITUTO EDUCATIEHOOG DE ENSINO E PESQUISA LTDA (EDUCATIE)
15012018;INSTITUTO EVANDRO CHAGAS (IEC)
32048017;INSTITUTO FED. DE EDUC. CIÊNC. E TECN. DO TRIÂNGULO MINEIRO (IFTM)
42032016;INSTITUTO FED. DE EDUC CIÊNC E TECNOLOGIA FARROUPILHA (IFFarroup)
25009010;INSTITUTO FED. DE EDUC. CIÊNCIA E TECNOLOGIA DE PERNAMBUCO (IFPE)
27005011;INSTITUTO FED. DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE SERGIPE (IFS)
31040012;INSTITUTO FED DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA FLUMINENSE (IFF)
26002019;INSTITUTO FEDERAL ALAGOAS (IFAL)
42033012;INSTITUTO FEDERAL DE EDUC. CIÊNC. E TECN. SUL-RIO-GRANDENSE (IFSul)
12003018;INSTITUTO FEDERAL DE EDUC. CIÊNCIA E TECNOLOGIA DO AMAZONAS (IFAM)
40034011;INSTITUTO FEDERAL DE EDUC. CIÊNCIA E TECNOLOGIA DO PARANÁ (IFPR)
24007013;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECN. DA PARAÍBA (IFPB)
33084017;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECN. DE SÃO PAULO (IFSP)
29002001;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA BAIANO (IFBAIANO)
41012011;Instituto Federal de Educação Ciência e Tecnologia Catarinense (IFC)
28010019;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DA BAHIA (IFBA)
53038010;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE BRASÍLIA (IFB)
50005014;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO (IFMT)
51006014;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL (IFMS)
32045018;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MINAS GERAIS (IFMG)
11010002;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA (IFRO)
13002015;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RORAIMA (IFRR)
41011015;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE SANTA CATARINA (IFSC)
11002018;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO ACRE (IFAC)
14002019;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO AMAPÁ (IFAP)
22008012;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO CEARÁ (IFCE)
23018003;Instituto Federal de Educação Ciência e Tecnologia do Ceará - Campus de Sobral (IFCE - Sobral)
30004012;Instituto Federal de Educação Ciência e Tecnologia do Espírito Santo (IFES)
21015007;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO (IFMA)
20003013;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO - MONTE CASTELO (IFMA - MC)
15008010;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ (IFPA)
21003017;INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA DO PIAUÍ (IFPI)
31050018;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO (IFRJ)
23005017;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE (IFRN)
42044014;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL (IFRS)
25014013;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO (IF SERTÃO-PE)
32044011;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS (IFSUDESTEMG)
32082010;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS (IFSULDEMINAS)
16005015;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO TOCANTINS (IFTO)
