id;programa;codigo_programa;codigo_instituicao
400;Pesquisa aplicada à saúde da criança e da mulher;31010016029P1;31010016
401;PESQUISA CLÍNICA;31010016026P2;31010016
402;PESQUISA CLINICA EM DOENÇAS INFECCIOSAS;31010016008P4;31010016
403;PESQUISA TRANSLACIONAL EM FÁRMACOS E MEDICAMENTOS;31010016152P8;31010016
404;PRESERVAÇÃO E GESTÃO DO PATRIMÔNIO CULTURAL DAS CIÊNCIAS E DA SAÚDE ;31010016149P7;31010016
405;Saúde, Sociedade e Endemias na Amazônia;31010016032P2;31010016
406;SAÚDE COLETIVA;11001011005P3;31010016
407;Saúde Coletiva;31010016031P6;31010016
408;SAÚDE DA CRIANÇA E DA MULHER;31010016005P5;31010016
409;SAÚDE DA CRIANÇA E DA MULHER;31010016014P4;31010016
410;Saúde da Família;31010016027P9;31010016
411;Saúde da Família;33303002001P9;31010016
412;SAÚDE PÚBLICA;31010016002P6;31010016
413;SAÚDE PÚBLICA;31010016012P1;31010016
414;SAÚDE PÚBLICA E MEIO  AMBIENTE;31010016015P0;31010016
415;SAÚDE PÚBLICA E MEIO AMBIENTE;31010016018P0;31010016
416;TECNOLOGIA DE IMUNOBIOLÓGICOS;31010016013P8;31010016
417;Vigilância e Controle de Vetores;31010016151P1;31010016
418;VIGILÂNCIA SANITÁRIA;31010016007P8;31010016
419;VIGILÂNCIA SANITÁRIA;31010016016P7;31010016
420;Saúde da Família;33303002001P9;31010024
421;Saúde da Família;33303002001P9;31010032
422;INOVAÇÃO EM SAÚDE;33158010002P7;33158010
423;ONCOLOGIA;33158010001P0;33158010
424;CLÍNICA MÉDICA;32058012001P0;32058012
425;GESTÃO E  SAÚDE NA AMAZÔNIA;15021017001P2;15021017
426;BIOCIÊNCIAS;42015014010P1;42015014
427;CIÊNCIAS DA NUTRIÇÃO;42015014014P7;42015014
428;Ciências da Reabilitação;42015014008P7;42015014
429;CIÊNCIAS DA SAÚDE;42015014006P4;42015014
430;ENFERMAGEM;42015014011P8;42015014
431;Ensino na Saúde;42015014009P3;42015014
432;FARMACOLOGIA;42015014001P2;42015014
433;MEDICINA-HEPATOLOGIA;42015014004P1;42015014
434;PATOLOGIA;42015014002P9;42015014
435;PEDIATRIA: ATENÇÃO A SAÚDE DA CRIANÇA E DO ADOLESCENTE;42015014013P0;42015014
436;PSICOLOGIA E SAÚDE;42015014012P4;42015014
437;Saúde da Família;33303002001P9;42015014
